timestamp,open,high,low,volume,chg,change,turnoverrate,amount,close
1669824000000,103.3419,107.1372,103.3419,10612348,5.7768,5.83,3.89,1133746867.0,104.9093
1669910400000,105.8261,105.974,100.6605,5973530,-3.5489,-3.38,2.18,621539296.0,101.3604
1670169600000,103.5095,104.4953,101.6266,7287476,1.7843,1.76,2.65,762153723.0,103.1447
1670256000000,102.5237,106.25,101.5379,4684758,1.3506,1.31,1.71,497794347.0,104.4953
1670342400000,104.0024,104.8896,101.3407,3789800,-1.597,-1.53,1.38,394662773.0,102.8983
1670428800000,103.1743,103.1743,100.9858,2697394,-0.5619,-0.55,0.98,279572917.0,102.3364
1670515200000,102.5138,103.6179,101.3111,3260894,0.2858,0.28,1.18,338813728.0,102.6222
1670774400000,102.5237,104.4756,100.8774,3657464,-1.6955,-1.65,1.33,377791441.0,100.9267
1670860800000,100.9464,102.8983,100.1774,4176234,-0.6112,-0.61,1.52,429544334.0,100.3155
1670947200000,100.5126,102.1786,98.7776,3288817,1.0548,1.05,1.2,336146676.0,101.3703
1671033600000,101.0154,101.9815,100.0591,1946517,0.1676,0.17,0.7,199445092.0,101.5379
1671120000000,100.5521,101.0154,98.7875,3306396,-1.9717,-1.94,1.19,333642771.0,99.5662
1671379200000,99.5761,100.345,95.6329,5541730,-2.9672,-2.98,2.03,545735630.0,96.599
1671465600000,97.1017,97.1017,94.9921,2524513,-1.183,-1.22,0.92,245372527.0,95.416
1671552000000,95.9385,96.0962,94.4401,2355276,-0.6802,-0.71,0.85,227559131.0,94.7358
1671638400000,96.1948,97.5946,95.6427,3274763,1.3604,1.44,1.2,321159117.0,96.0962
1671724800000,95.5836,97.2989,94.8048,2469931,-0.3056,-0.32,0.9,241072980.0,95.7906
1671984000000,95.8399,98.472,95.1498,3404086,2.3265,2.43,1.24,336852953.0,98.1171
1672070400000,98.5607,99.3691,97.2989,3161806,-0.276,-0.28,1.16,316251139.0,97.8411
1672156800000,97.5651,99.2212,97.082,2879326,-0.2465,-0.25,1.05,286016353.0,97.5946
1672243200000,95.83,98.5706,95.7413,2335925,0.2268,0.23,0.85,230798481.0,97.8214
1672329600000,98.2748,99.0536,96.7468,2097961,-0.6112,-0.62,0.75,208160138.0,97.2102
1672675200000,97.1806,97.1806,92.6755,4690149,-0.5225,-0.54,1.71,454262431.0,96.6877
1672761600000,96.9736,99.9409,96.1751,4229002,1.8336,1.9,1.55,421564000.0,98.5213
1672848000000,99.5662,102.8884,98.5312,5292770,3.7658,3.82,1.93,545598594.0,102.2871
1672934400000,102.0308,104.8502,101.5477,4820424,0.6703,0.66,1.76,505017877.0,102.9574
1673193600000,103.8446,107.4527,103.125,5023070,2.8194,2.74,1.84,538130483.0,105.7768
1673280000000,105.2839,107.9357,104.7812,4634043,0.6901,0.65,1.68,501644117.0,106.4669
1673366400000,107.0091,107.985,106.0627,3143333,-0.1775,-0.17,1.14,341457892.0,106.2894
1673452800000,106.2894,108.4385,106.2796,4107672,1.8533,1.74,1.49,448663814.0,108.1427
1673539200000,108.1427,109.9172,107.1569,3989411,1.0844,1.0,1.44,439951645.0,109.2271
1673798400000,109.9073,117.9712,109.237,8293724,5.836,5.34,3.04,963619615.0,115.0631
1673884800000,113.7618,116.6207,113.5745,4033676,0.621,0.54,1.46,470732312.0,115.6841
1673971200000,115.7334,118.0008,115.3194,4479983,0.6901,0.6,1.64,531397504.0,116.3742
1674057600000,116.3151,118.9866,115.7236,4016486,2.3167,1.99,1.45,479648996.0,118.6909
1674144000000,118.888,119.2823,116.7094,3663112,-1.4788,-1.25,1.32,436185602.0,117.2121
1675008000000,120.1696,123.7677,117.6952,6423803,1.4788,1.26,2.34,781855183.0,118.6909
1675094400000,118.6909,120.2681,115.349,5854868,-2.4153,-2.03,2.12,694048750.0,116.2756
1675180800000,116.3151,121.3229,115.3391,5320533,4.9783,4.28,1.93,638997098.0,121.2539
1675267200000,124.2114,124.2114,116.3249,6905938,-1.1829,-0.98,2.49,835319593.0,120.071
1675353600000,118.267,119.5584,117.2121,3617551,-0.8281,-0.69,1.32,434327832.0,119.2429
1675612800000,117.3107,118.9274,115.6349,5009905,-1.8927,-1.59,1.83,596955536.0,117.3502
1675699200000,118.1881,127.6518,118.1881,11955854,6.2598,5.33,4.37,1506241608.0,123.61
1675785600000,122.6045,123.61,118.4937,5492458,-2.08,-1.68,2.01,675003946.0,121.53
1675872000000,122.7228,124.3987,119.5584,5524697,2.1687,1.78,1.99,684092638.0,123.6987
1675958400000,122.92,125.9365,121.2539,3805605,-2.356,-1.9,1.38,474081696.0,121.3427
1676217600000,121.3131,123.2256,120.0217,3769990,1.4787,1.22,1.37,465867868.0,122.8214
1676304000000,122.7129,125.1676,121.9539,3407676,2.3462,1.91,1.21,427335426.0,125.1676
1676390400000,124.8423,125.1282,120.9582,3089155,-2.9279,-2.34,1.12,383077515.0,122.2397
1676476800000,122.1412,129.6333,121.7271,8514580,1.1732,0.96,3.1,1083748343.0,123.4129
1676563200000,123.2256,123.8762,114.4322,9339411,-8.5667,-6.94,3.4,1115368679.0,114.8462
1676822400000,116.1968,121.4117,116.0292,6878409,6.3092,5.49,2.52,829402958.0,121.1554
1676908800000,120.761,121.6285,118.9866,3377993,0.1971,0.16,1.23,412877322.0,121.3525
1676995200000,120.2583,122.013,119.7752,3055965,-0.7788,-0.64,1.1,374576767.0,120.5737
1677081600000,120.5737,124.8028,118.9767,3687904,-1.2914,-1.07,1.34,451960343.0,119.2823
1677168000000,119.7752,120.1696,117.7543,3266894,-1.1336,-0.95,1.17,392636336.0,118.1487
1677427200000,116.8277,118.7697,115.5363,4608100,-0.9957,-0.84,1.69,545637906.0,117.153
1677513600000,118.0994,118.5528,115.2603,5321235,-0.3352,-0.29,1.96,631237757.0,116.8178
1677600000000,116.9164,124.7535,115.349,8401612,6.5162,5.58,3.09,1034549367.0,123.334
1677686400000,123.3044,126.9026,122.6439,6131682,2.4842,2.01,2.26,780882690.0,125.8182
1677772800000,125.8182,125.9858,121.8454,3606388,-3.1348,-2.49,1.33,450847522.0,122.6834
1678032000000,122.7326,122.8312,117.3107,6495716,-4.3277,-3.53,2.39,780508307.0,118.3557
1678118400000,118.267,119.2922,116.0785,3398111,-1.9125,-1.62,1.25,405546540.0,116.4432
1678204800000,115.9799,117.4093,115.0434,2898815,-0.3253,-0.28,1.07,340784102.0,116.1179
1678291200000,116.1278,116.6207,113.7421,3268761,-1.114,-0.96,1.2,381301608.0,115.0039
1678377600000,113.8604,115.9897,113.3774,2361912,-0.6013,-0.52,0.87,275735855.0,114.4026
1678636800000,114.3533,118.7599,113.8703,4596539,3.5489,3.1,1.69,547153764.0,117.9515
1678723200000,117.291,118.4148,115.0434,2779041,-2.3856,-2.02,1.02,327655713.0,115.5659
1678809600000,116.3249,119.7752,115.0434,3853647,-0.3254,-0.28,1.42,457413043.0,115.2405
1678896000000,114.8265,118.6514,114.0871,3792905,1.1534,1.0,1.4,450703130.0,116.3939
1678982400000,118.2965,132.4921,117.9515,14983934,14.1463,12.15,5.52,1942276006.0,130.5402
1679241600000,133.2906,143.7204,132.6301,18328263,7.8667,6.03,6.75,2596087916.0,138.4069
1679328000000,139.097,143.4345,137.7169,13086026,1.5773,1.14,4.82,1870658146.0,139.9842
1679414400000,139.58,141.5911,136.5339,10055860,0.1972,0.14,3.7,1415984514.0,140.1814
1679500800000,140.0039,167.5966,140.0039,22724403,25.345,18.08,8.37,3544030212.0,165.5264
1679587200000,163.6435,177.7701,160.5777,21488135,8.2315,4.97,7.91,3661620285.0,173.7579
1679846400000,182.1767,207.0386,180.9444,23594181,18.4641,10.63,8.69,4587976983.0,192.222
1679932800000,183.2019,191.1376,170.6723,32118076,-15.763,-8.2,11.83,5901567310.0,176.459
1680019200000,172.5651,181.5753,168.8683,19536376,-2.6321,-1.49,7.19,3470977614.0,173.8269
1680105600000,175.9,181.99,171.0,13688868,1.1731,0.67,5.04,2414761990.0,175.0
1680192000000,175.04,207.32,171.0,22092565,29.3,16.74,8.14,4212503225.0,204.3
